year,solar_radiation,mean_air_temperature,mean_wind_speed,mean_relative_humidity,percentage_possible_sunshine,total_sunshine_duration,total_precipitation
Jan-10,3.8,-3.4,5.5,75,14,40.4,75.5
Feb-10,6.2,-4.9,4.1,74,17,48.8,109.5
Mar-10,10.5,-1.4,4.7,68,29,108,100.5
Apr-10,13.9,3.5,4.3,77,36,146.2,94
May-10,16.5,7.3,4.9,86,37,168.6,76.5
Jun-10,20.8,15,4,87,44,204.7,31.5
Jul-10,12.3,18.1,3.3,91,16,73.8,233.5
Aug-10,16.3,22.4,4.1,85,40,174.1,99.5
Sep-10,14.5,18.4,4.1,72,55,205,170.5
Oct-10,9.2,11.4,3.7,72,46,156.1,97
Nov-10,4.3,4.8,5.2,71,22,62.8,108.5
Dec-10,2.8,-1.1,5.1,76,11,31.1,116
Jan-11,4.7,-5.1,4.8,75,20,55.9,64.5
Feb-11,7.7,-2.2,4.4,70,30,85.2,39.5
Mar-11,12.8,-0.6,3.9,69,42,153.3,58
Apr-11,14.3,4.4,5.7,77,36,143.2,92
May-11,15.1,6.5,4.7,85,30,138.6,68.5
Jun-11,16.5,12.8,4.1,89,25,118.7,67
Jul-11,16.6,17.5,3.3,89,29,136.6,51
Aug-11,15.6,21.5,3.6,83,40,174.3,56.5
Sep-11,12.1,18.3,4.5,77,45,168.9,312
Oct-11,8.3,12.1,4.7,69,42,143,116
Nov-11,4.5,4.9,4.9,68,28,80.1,92.5
Dec-11,2.8,-2.3,5,74,12,32.7,186.5
Jan-12,4.1,-5.4,4.7,72,15,41.3,79.5
Feb-12,7,-6.4,5,69,25,73.6,76.5
Mar-12,11.6,-2.4,4.5,72,37,134.1,52
Apr-12,16.5,4.6,3.9,75,49,198.9,43
May-12,15.6,8.9,4.1,83,31,140.4,64.5
Jun-12,20.3,12.6,3.9,82,45,211.5,23.5
Jul-12,15.2,17.2,3.7,88,25,119.3,107
Aug-12,15.4,20.4,3.7,84,36,155.7,129.5
Sep-12,10.5,19.4,4.1,82,33,125.7,169
Oct-12,8.2,11.8,4.8,68,37,124.1,110.5
Nov-12,3.3,3.8,6.2,76,13,36.1,157
Dec-12,2.4,-3,5.5,73,6,16.7,147.5
Jan-13,3.8,-5.8,5.6,73,14,38.7,124
Feb-13,7,-5.1,5.3,71,22,62.6,49
Mar-13,9.9,-1.3,5.7,67,26,97,69.5
Apr-13,15.2,4.5,4.9,74,41,165,78
May-13,14.4,7.2,4.7,84,26,117.5,52
Jun-13,19.4,14,4,83,40,186.1,29
Jul-13,20.4,18.9,3.9,85,44,208.9,23.5
Aug-13,12.7,20.2,4.5,84,26,113.6,116
Sep-13,11.8,17.6,4.1,73,40,150.8,110
Oct-13,8.6,11.8,4.8,70,41,139.9,106.5
Nov-13,4.4,5.5,4.7,68,25,71,194.5
Dec-13,2.8,-0.2,5.9,70,12,33,93.5
Jan-14,4,-5.3,4.4,69,16,44.1,105
Feb-14,8,-4.2,5.6,70,34,96.7,44
Mar-14,14.1,-1.2,4.9,69,52,189.9,20
Apr-14,18,3.9,5.6,73,54,217.2,34.5
May-14,15.9,8.7,5.2,82,31,141.5,62
Jun-14,18.7,13.9,4.2,82,38,176.1,144.5
Jul-14,17.6,19.2,4.1,85,34,162.7,44
Aug-14,16.3,20,3.8,83,42,182.1,275.5
Sep-14,12.4,16.7,4.3,76,42,158.5,256.5
Oct-14,8.8,11,4.8,64,43,145.1,58.5
Nov-14,5.1,4.8,4.5,67,35,100.1,103.5
Dec-14,2.9,-2.3,5.8,69,10,26.6,143
Jan-15,4,-2.9,5.2,70,18,51.2,55.5
Feb-15,7.1,-1.7,6,73,29,83.3,48.5
Mar-15,10.1,2.3,5,78,32,118.4,105.5
Apr-15,15.6,5.9,5.4,70,44,178,40
May-15,17.9,9.9,5.1,74,41,186,82
Jun-15,15.8,12.1,4.5,85,27,125.9,132
Jul-15,15.4,17.6,4.3,86,28,130.1,205.5
Aug-15,14.8,19,4.2,82,31,135.5,20.5
Sep-15,13.4,17.3,3.8,76,46,173.3,103.5
Oct-15,7.9,10.4,5.9,62,36,121.6,182.5
Nov-15,5.1,3.7,5.3,67,30,84.8,62.5
Dec-15,3,-0.2,4.2,65,18,49.4,110
Jan-16,3.4,-5.2,5.2,64,8,23,118.5
Feb-16,5.3,-4.7,4.7,68,11,34.2,115.5
Mar-16,12,0.5,4.2,65,39,142.8,40
Apr-16,14.2,4.3,5.3,75,37,150,82.5
May-16,19.9,11.4,5.1,68,53,245.4,41.5
Jun-16,17.4,12.5,4.1,83,35,162.8,146
Jul-16,17.4,17.4,4.1,87,35,164.1,154
Aug-16,15.7,21.6,4.4,82,39,170.1,112
Sep-16,11.9,16.6,4.3,78,41,153.6,316
Oct-16,6.6,9.5,5,56,27,92.1,132.5
Nov-16,3.3,0.1,4.3,65,9,25.8,129.5
